SoilN,SoilP,SoilK,PlantAge,FertilizerType,FertilizerAmount
100,36,23,4,NPK 16-16-16,56
98,19,52,9,NPK 8-8-8,73
119,33,46,4,NPK 25-10-10,78
82,33,24,13,NPK 20-10-10,75
108,30,52,14,NPK 16-16-16,61
55,33,35,9,NPK 8-8-8,65
114,32,56,10,NPK 8-8-8,42
87,21,44,13,NPK 20-10-10,68
104,48,20,10,NPK 20-10-10,56
110,37,29,12,NPK 8-8-8,73
103,35,47,8,NPK 16-16-16,78
90,50,49,11,NPK 16-16-16,61
114,35,57,6,NPK 10-10-10,70
92,19,53,10,NPK 20-10-10,58
105,31,41,13,NPK 20-10-10,77
58,43,29,6,NPK 8-8-8,66
118,23,56,3,NPK 20-10-10,63
109,22,20,5,NPK 20-10-10,40
83,35,46,5,NPK 20-10-10,60
66,18,32,12,NPK 20-10-10,59
113,28,36,13,NPK 25-10-10,70
89,39,57,5,NPK 16-16-16,72
87,22,32,3,NPK 20-10-10,58
120,31,26,12,NPK 20-10-10,47
99,15,35,11,NPK 16-16-16,41
69,49,37,12,NPK 16-16-16,57
90,45,45,1,NPK 25-10-10,56
95,33,60,2,NPK 8-8-8,64
52,41,33,8,NPK 25-10-10,74
99,34,38,4,NPK 20-10-10,72
67,49,38,13,NPK 16-16-16,49
65,48,51,8,NPK 20-10-10,78
107,37,58,8,NPK 20-10-10,63
118,44,36,8,NPK 10-10-10,74
112,16,54,3,NPK 25-10-10,50
83,34,54,4,NPK 25-10-10,74
78,20,29,8,NPK 20-10-10,59
67,15,55,13,NPK 8-8-8,73
99,40,59,3,NPK 8-8-8,72
88,36,36,1,NPK 20-10-10,57
101,17,24,4,NPK 8-8-8,71
63,27,47,3,NPK 8-8-8,72
58,29,48,9,NPK 10-10-10,66
100,30,42,9,NPK 20-10-10,75
53,20,58,5,NPK 16-16-16,73
78,39,33,14,NPK 16-16-16,62
99,48,46,6,NPK 20-10-10,69
107,24,39,8,NPK 16-16-16,48
