PlantAge,SoilMoisture,IrrigationAmount
5,48,0.47
10,35,0.66
15,32,0.59
20,60,0.54
25,62,0.39
30,64,0.39
35,44,0.36
40,59,0.63
45,49,0.54
50,59,0.58
55,49,0.35
60,53,0.67
65,42,0.62
70,42,0.41
75,26,0.4
80,59,0.4
85,40,0.44
90,65,0.52
95,60,0.49
100,57,0.44
105,28,0.55
110,57,0.39
115,38,0.44
120,45,0.46
125,44,0.5
130,32,0.61
135,31,0.41
140,27,0.51
145,41,0.54
150,57,0.36
155,36,0.55
160,46,0.4
165,46,0.36
170,54,0.66
175,62,0.67
180,62,0.61
185,69,0.44
190,32,0.37
195,51,0.57
200,51,0.49
5,58,0.38
10,45,0.51
15,54,0.35
20,57,0.65
25,52,0.43
30,57,0.57
35,29,0.45
40,43,0.52
45,28,0.53
50,59,0.4
55,41,0.67
60,68,0.6
65,52,0.66
70,54,0.64
75,53,0.54
80,30,0.65
85,59,0.37
90,65,0.41
95,61,0.36
100,48,0.45
105,53,0.47
110,55,0.43
115,59,0.62
120,57,0.46
125,45,0.44
130,56,0.52
135,47,0.39
140,57,0.61
145,27,0.37
150,42,0.68
155,49,0.6
160,66,0.41
165,55,0.34
170,27,0.62
175,64,0.58
180,48,0.59
185,56,0.6
190,46,0.37
195,47,0.46
200,26,0.38
5,51,0.63
10,66,0.55
15,26,0.45
20,50,0.36
25,41,0.45
30,64,0.45
35,57,0.59
40,33,0.56
45,67,0.64
50,63,0.5
55,53,0.38
60,66,0.58
65,50,0.6
70,59,0.53
75,49,0.6
80,48,0.51
85,37,0.52
90,31,0.49
95,60,0.35
100,69,0.38
105,44,0.35
110,25,0.56
115,32,0.45
120,40,0.51
125,38,0.65
130,36,0.42
135,47,0.48
140,39,0.6
145,52,0.42
150,58,0.37
155,26,0.44
160,56,0.39
165,47,0.66
170,46,0.61
175,49,0.56
180,46,0.64
185,46,0.61
190,66,0.4
195,30,0.64
200,39,0.52
5,67,0.61
10,61,0.64
15,57,0.45
20,32,0.38
25,68,0.42
30,68,0.49
35,29,0.62
40,63,0.63
45,28,0.34
50,30,0.51
55,69,0.48
60,56,0.42
65,54,0.38
70,59,0.45
75,64,0.66
80,40,0.45
85,37,0.52
90,66,0.58
95,54,0.46
100,43,0.67
105,41,0.67
110,43,0.43
115,52,0.51
120,50,0.44
125,61,0.44
130,50,0.35
135,47,0.55
140,33,0.51
145,36,0.36
150,25,0.43
155,25,0.65
160,58,0.42
165,56,0.39
170,49,0.51
175,64,0.68
180,69,0.42
185,25,0.57
190,40,0.6
195,63,0.42
200,29,0.59
5,46,0.47
10,53,0.55
15,27,0.56
20,36,0.52
25,50,0.37
30,40,0.62
35,61,0.45
40,46,0.4
45,53,0.35
50,38,0.54
55,52,0.57
60,29,0.35
65,54,0.51
70,29,0.42
75,36,0.56
80,40,0.4
85,50,0.57
90,50,0.47
95,45,0.66
100,63,0.39
105,60,0.46
110,57,0.38
115,54,0.65
120,61,0.64
125,47,0.43
130,34,0.56
135,29,0.62
140,60,0.53
145,58,0.52
150,55,0.42
155,34,0.37
160,43,0.65
165,56,0.65
170,25,0.56
175,29,0.46
180,69,0.46
185,28,0.59
190,40,0.65
195,48,0.64
200,40,0.61
